paper_id,decision,rule_triggered,confidence,needs_human
REC_0603,EXCLUDE,E1..E4,1.0,NO
REC_0604,EXCLUDE,E1..E4,1.0,NO
REC_0605,EXCLUDE,E1..E4,1.0,NO
REC_0606,EXCLUDE,E1..E4,1.0,NO
REC_0607,EXCLUDE,E1..E4,1.0,NO
REC_0608,BORDERLINE_EXCLUDE,E1..E4,0.7,NO
REC_0609,EXCLUDE,E1..E4,1.0,NO
REC_0610,EXCLUDE,E1..E4,1.0,NO
REC_0611,EXCLUDE,E1..E4,1.0,NO
REC_0613,EXCLUDE,E1..E4,1.0,NO
REC_0614,EXCLUDE,E1..E4,1.0,NO
REC_0616,EXCLUDE,E1..E4,1.0,NO
REC_0618,EXCLUDE,E1..E4,1.0,NO
REC_0619,EXCLUDE,E1..E4,1.0,NO
REC_0621,EXCLUDE,E1..E4,1.0,NO
REC_0623,EXCLUDE,E1..E4,1.0,NO
REC_0624,EXCLUDE,E1..E4,1.0,NO
REC_0625,EXCLUDE,E1..E4,1.0,NO
REC_0626,EXCLUDE,E1..E4,1.0,NO
REC_0627,EXCLUDE,E1..E4,1.0,NO
REC_0628,EXCLUDE,E1..E4,1.0,NO
REC_0629,EXCLUDE,E1..E4,1.0,NO
REC_0630,EXCLUDE,E1..E4,1.0,NO
REC_0632,EXCLUDE,E1..E4,1.0,NO
REC_0633,EXCLUDE,E1..E4,1.0,NO
REC_0634,EXCLUDE,E1..E4,1.0,NO
REC_0635,EXCLUDE,E1..E4,1.0,NO
REC_0636,EXCLUDE,E1..E4,1.0,NO
REC_0638,EXCLUDE,E1..E4,1.0,NO
REC_0640,EXCLUDE,E1..E4,1.0,NO
REC_0641,EXCLUDE,E1..E4,1.0,NO
REC_0642,EXCLUDE,E1..E4,1.0,NO
REC_0643,EXCLUDE,E1..E4,1.0,NO
REC_0645,EXCLUDE,E1..E4,1.0,NO
REC_0646,EXCLUDE,E1..E4,1.0,NO
REC_0649,EXCLUDE,E1..E4,1.0,NO
REC_0650,EXCLUDE,E1..E4,1.0,NO
REC_0651,EXCLUDE,E1..E4,1.0,NO
REC_0653,EXCLUDE,E1..E4,1.0,NO
REC_0654,EXCLUDE,E1..E4,1.0,NO
REC_0655,EXCLUDE,E1..E4,1.0,NO
REC_0657,EXCLUDE,E1..E4,1.0,NO
REC_0658,EXCLUDE,E1..E4,1.0,NO
REC_0660,EXCLUDE,E1..E4,1.0,NO
REC_0661,EXCLUDE,E1..E4,1.0,NO
REC_0663,EXCLUDE,E1..E4,1.0,NO
REC_0665,EXCLUDE,E1..E4,1.0,NO
REC_0666,EXCLUDE,E1..E4,1.0,NO
REC_0667,EXCLUDE,E1..E4,1.0,NO
REC_0668,EXCLUDE,E1..E4,1.0,NO
REC_0669,EXCLUDE,E1..E4,1.0,NO
REC_0670,EXCLUDE,E1..E4,1.0,NO
REC_0671,EXCLUDE,E1..E4,1.0,NO
REC_0673,EXCLUDE,E1..E4,1.0,NO
REC_0675,EXCLUDE,E1..E4,1.0,NO
REC_0676,EXCLUDE,E1..E4,1.0,NO
REC_0677,EXCLUDE,E1..E4,1.0,NO
REC_0679,EXCLUDE,E1..E4,1.0,NO
REC_0680,EXCLUDE,E1..E4,1.0,NO
