paper_id,status,issues,pdf_exists,pdf_bytes,pdf_pages_actual,pdf_pages_csv,pages_match,text_chars,text_tokens,nonascii_ratio,shorttok_ratio,text_status,missing_fields,qa_consistent,qa_sum,qa_total_csv,fulltext_consistent
REC_1025,PASS,,True,9695177,44,44,True,136222,19905,0.0046,0.1463,PASS,,True,7,7,True
REC_1028,PASS,,True,2399812,7,7,True,22767,4034,0.0145,0.2766,PASS,,True,4,4,True
REC_1034,PASS,,True,4045708,8,8,True,32594,4762,0.0082,0.1648,PASS,,True,3,3,True
REC_1049,PASS,,True,3009373,8,8,True,32501,5600,0.0078,0.2716,PASS,,True,3,3,True
REC_1103,PASS,,True,5638186,10,10,True,19978,3300,0.0113,0.243,PASS,,True,3,3,True
REC_1105,PASS,,True,1677140,7,7,True,31267,4736,0.0008,0.1685,PASS,,True,6,6,True
REC_1132,PASS,,True,1274773,13,13,True,53138,9110,0.005,0.2752,PASS,,True,4,4,True
REC_1137,PASS_EXCEPTION,FAIL_OCR: short-token 52.5%|exception: High short-token ratio (52.5%) due to equation-dense mathematical notation; text,True,805870,8,8,True,26871,5848,0.0427,0.525,FAIL_OCR,,True,4,4,True
REC_1146,PASS,,True,3047637,8,8,True,35229,5329,0.0059,0.186,PASS,,True,6,6,True
REC_1148,PASS,,True,1330992,13,13,True,51934,7102,0.0034,0.1542,PASS,,True,8,8,True
REC_1159,PASS,,True,49879409,29,29,True,73339,12489,0.0164,0.3297,PASS,,True,5,5,True
REC_1192,PASS,,True,1750845,6,6,True,27825,4551,0.0079,0.2178,PASS,,True,6,6,True
REC_1207,PASS,,True,4153972,45,45,True,84128,13690,0.0111,0.2285,PASS,,True,7,7,True
REC_1212,PASS,,True,2934732,18,18,True,49003,7144,0.0014,0.1723,PASS,,True,4,4,True
REC_1217,PASS,,True,554659,11,11,True,28309,4521,0.0062,0.1966,PASS,,True,6,6,True
REC_1245,PASS,,True,934895,6,6,True,24032,3517,0.0049,0.1942,PASS,,True,6,6,True
REC_1270,PASS,,True,730365,4,4,True,17308,2669,0.001,0.1761,PASS,,True,6,6,True
REC_1285,PASS,,True,793105,4,4,True,18399,2775,0.0033,0.1705,PASS,,True,7,7,True
REC_1298,PASS,,True,6009266,26,26,True,60161,9784,0.0107,0.253,PASS,,True,7,7,True
REC_1306,PASS,,True,1558639,7,7,True,34561,4566,0.007,0.1389,PASS,,True,5,5,True
REC_1307,PASS,,True,27523826,38,38,True,102717,16753,0.0044,0.2179,PASS,,True,9,9,True
REC_1308,PASS,,True,2336763,12,12,True,57818,8280,0.009,0.1709,PASS,,True,6,6,True
REC_1313,PASS,,True,2819099,15,15,True,50661,8133,0.0087,0.198,PASS,,True,4,4,True
REC_1330,PASS,,True,4875736,6,6,True,31006,4880,0.0057,0.1758,PASS,,True,6,6,True
REC_1358,PASS,,True,9036505,18,18,True,77760,11905,0.0109,0.2332,PASS,,True,8,8,True
REC_1366,PASS,,True,154211,7,7,True,32713,5635,0.0141,0.2926,PASS,,True,6,6,True
REC_1378,PASS,,True,2000994,10,10,True,31128,4953,0.0251,0.2237,PASS,,True,4,4,True
REC_1405,PASS,,True,1594074,9,9,True,40678,6368,0.004,0.1756,PASS,,True,9,9,True
REC_1417,PASS,,True,800934,9,9,True,32096,4700,0.0057,0.1864,PASS,,True,4,4,True
REC_1451,PASS,,True,1880063,8,8,True,17691,2678,0.0012,0.171,PASS,,True,2,2,True
REC_1463,PASS,,True,8399822,11,11,True,49390,8146,0.0074,0.2571,PASS,,True,7,7,True
REC_1480,PASS,,True,1774263,8,8,True,35553,6288,0.017,0.2723,PASS,,True,2,2,True
REC_1561,PASS,,True,3231075,15,15,True,58537,9142,0.0077,0.1992,PASS,,True,4,4,True
REC_1564,PASS,,True,1890742,18,18,True,61019,10646,0.0115,0.2696,PASS,,True,6,6,True
REC_1573,PASS,,True,2512596,13,13,True,55422,8460,0.0013,0.1904,PASS,,True,9,9,True
REC_1582,PASS,,True,395059,7,7,True,34021,4833,0.0012,0.1618,PASS,,True,4,4,True
REC_1612,PASS,,True,942419,12,12,True,62185,10030,0.0076,0.2478,PASS,,True,7,7,True
REC_1619,PASS,,True,5874344,28,28,True,115138,18688,0.0065,0.1988,PASS,,True,10,10,True
REC_1640,PASS,,True,3352982,19,19,True,43550,7247,0.0061,0.236,PASS,,True,3,3,True
REC_1642,PASS,,True,1805650,8,8,True,36912,6195,0.0064,0.2202,PASS,,True,7,7,True
REC_1667,PASS,,True,4368235,25,25,True,60865,9582,0.0039,0.1897,PASS,,True,5,5,True
REC_1678,PASS,,True,3394897,8,8,True,39314,5878,0.0091,0.1778,PASS,,True,5,5,True
REC_1688,PASS,,True,32482072,63,63,True,302582,46122,0.0087,0.1743,PASS,,True,8,8,True
REC_1715,PASS,,True,32482072,63,63,True,302582,46122,0.0087,0.1743,PASS,,True,8,8,True
