priority,id,filename,title,year,source,doi,bucket,ieee_link,doi_link,scholar_link,done_Y_N,notes
51,REC_1096,REC_1096.pdf,DTVIRM-Swarm: A Distributed and Tightly Integrated Visual-Inertial-UWB-Magnetic System for Anchor Free Swarm Cooperative Localization,2026,Scopus,10.3390/drones10010049,recent,https://www.scopus.com/pages/publications/105028702188?origin=resultslist,https://doi.org/10.3390/drones10010049,https://scholar.google.com/scholar?q=DTVIRM-Swarm%3A+A+Distributed+and+Tightly+Integrated+Visual-Inertial-UWB-Magnetic+System+for+Anchor+Free+Swarm+Cooperative+Localization,,
52,REC_1099,REC_1099.pdf,Machine Learning-Based UAV Localization for Under-Structure Sensor Deployment in GPS-Denied Environments,2026,Scopus,10.1117/12.3089966,recent,https://www.scopus.com/pages/publications/105040245069?origin=resultslist,https://doi.org/10.1117/12.3089966,https://scholar.google.com/scholar?q=Machine+Learning-Based+UAV+Localization+for+Under-Structure+Sensor+Deployment+in+GPS-Denied+Environments,,
53,REC_1106,REC_1106.pdf,Adaptive Particle Filter-Neural Network Fusion for Cooperative Localization of Multi-UAV Systems in GNSS-Denied Indoor Environments,2026,Scopus,10.3390/computers15030172,recent,https://www.scopus.com/pages/publications/105033865528?origin=resultslist,https://doi.org/10.3390/computers15030172,https://scholar.google.com/scholar?q=Adaptive+Particle+Filter-Neural+Network+Fusion+for+Cooperative+Localization+of+Multi-UAV+Systems+in+GNSS-Denied+Indoor+Environments,,
54,REC_1107,REC_1107.pdf,Multi-UAV Cooperative Localization in Pseudolite-Augmented GNSS-Denied Regions: An Anomaly-Resilient Adaptive Kalman Filter with Group Covariance Compensation,2026,Scopus,10.3390/drones10060460,recent,https://www.scopus.com/pages/publications/105042994840?origin=resultslist,https://doi.org/10.3390/drones10060460,https://scholar.google.com/scholar?q=Multi-UAV+Cooperative+Localization+in+Pseudolite-Augmented+GNSS-Denied+Regions%3A+An+Anomaly-Resilient+Adaptive+Kalman+Filter+with+Group+Covariance+Compensation,,
55,REC_1110,REC_1110.pdf,Cross-Session 3D LiDAR and Camera Fusion for Robust Localization of Unmanned Aerial Vehicles in GPS-Denied Environments,2026,Scopus,10.1155/joro/9948104,recent,https://www.scopus.com/pages/publications/105043187500?origin=resultslist,https://doi.org/10.1155/joro/9948104,https://scholar.google.com/scholar?q=Cross-Session+3D+LiDAR+and+Camera+Fusion+for+Robust+Localization+of+Unmanned+Aerial+Vehicles+in+GPS-Denied+Environments,,
56,REC_1114,REC_1114.pdf,I-NAV: Inverse Navigation for questionnaire-based geolocation in GPS-denied environments,2026,Scopus,10.1016/j.array.2026.100978,recent,https://www.scopus.com/pages/publications/105042649186?origin=resultslist,https://doi.org/10.1016/j.array.2026.100978,https://scholar.google.com/scholar?q=I-NAV%3A+Inverse+Navigation+for+questionnaire-based+geolocation+in+GPS-denied+environments,,
57,REC_1115,REC_1115.pdf,SWA-PF: Semantic-weighted adaptive particle filter for memory-efficient 4-DoF UAV localization in GNSS-denied environments,2026,Scopus,10.1016/j.patcog.2026.114522,recent,https://www.scopus.com/pages/publications/105045713651?origin=resultslist,https://doi.org/10.1016/j.patcog.2026.114522,https://scholar.google.com/scholar?q=SWA-PF%3A+Semantic-weighted+adaptive+particle+filter+for+memory-efficient+4-DoF+UAV+localization+in+GNSS-denied+environments,,
58,REC_1116,REC_1116.pdf,Development of a Visual SLAM-Based Autonomous UAV System for Greenhouse Plant Monitoring,2026,Scopus,10.3390/drones10030205,recent,https://www.scopus.com/pages/publications/105033949830?origin=resultslist,https://doi.org/10.3390/drones10030205,https://scholar.google.com/scholar?q=Development+of+a+Visual+SLAM-Based+Autonomous+UAV+System+for+Greenhouse+Plant+Monitoring,,
59,REC_1123,REC_1123.pdf,A Novel Scene-Matching Positioning Approach for Low-Altitude UAVs Considering Elevation Differences in Satellite Images,2026,Scopus,10.1109/JIOT.2026.3664077,recent,https://www.scopus.com/pages/publications/105030190770?origin=resultslist,https://doi.org/10.1109/JIOT.2026.3664077,https://scholar.google.com/scholar?q=A+Novel+Scene-Matching+Positioning+Approach+for+Low-Altitude+UAVs+Considering+Elevation+Differences+in+Satellite+Images,,
60,REC_1124,REC_1124.pdf,Real-Time Elevation and Orientation-Aware Visual Localization for GNSS-Denied Drone Navigation,2026,Scopus,10.3390/drones10060445,recent,https://www.scopus.com/pages/publications/105042771790?origin=resultslist,https://doi.org/10.3390/drones10060445,https://scholar.google.com/scholar?q=Real-Time+Elevation+and+Orientation-Aware+Visual+Localization+for+GNSS-Denied+Drone+Navigation,,
