paper_number,title,year,experiment_type,appraiser1_real_robot,appraiser1_ground_truth,appraiser1_repeatability,appraiser1_absolute_and_relative_error,appraiser1_trajectory_duration_scale,appraiser1_failure_or_ablation,appraiser1_established_baseline,appraiser1_matched_baseline,appraiser1_released_code_data_detail,appraiser2_real_robot,appraiser2_ground_truth,appraiser2_repeatability,appraiser2_absolute_and_relative_error,appraiser2_trajectory_duration_scale,appraiser2_failure_or_ablation,appraiser2_established_baseline,appraiser2_matched_baseline,appraiser2_released_code_data_detail,consensus_rigor,consensus_reporting,consensus_baseline,consensus_repro,consensus_notes
692,A High Accuracy and Large-Scale Detection for Fixed-Wing UAV Autonomous Ground Landing With GNSS-Denied,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
694,UWB and IMU System Fusion for Indoor Navigation,2018,Real_World,,,,,,,,,,,,,,,,,,,,,,,
701,Vision-Based Autonomous Drone Navigation Using Deep Reinforcement Learning,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
706,Towards Robust UAV Tracking in GNSS-Denied Environments: A Multi-LiDAR Multi-UAV Dataset,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
707,Precision Positioning for Smart Logistics Using Ultra-Wideband Technology-Based Indoor Navigation: A Review,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
708,Target Circumnavigation of Mobile Robots in GPS-Denied Environments,2024,Simulation,,,,,,,,,,,,,,,,,,,,,,,
709,Lidar-mmW Radar Fusion for Safer UGV Autonomous Navigation with Collision Avoidance,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
711,A Local-observation-based Safe Autonomous Navigation Approach in an Unknown Environment,2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
717,An Indoor Navigation System for Autonomous Shopping Cart,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
723,Flight Test Evaluation of a LIDAR/inertial Navigator for Autonomous Drone Operations in GNSS-denied Urban Environments,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
727,Closed-Loop Benchmarking of Stereo Visual-Inertial SLAM Systems: Understanding the Impact of Drift and Latency on Tracking Accuracy,2020,Simulation,,,,,,,,,,,,,,,,,,,,,,,
729,Communication-Free Formation Flight Control for Autonomous Fixed-Wing UAVs in GNSS-denied environments,2024,Simulation,,,,,,,,,,,,,,,,,,,,,,,
740,LiDAR-Based Autonomous Docking System for Uncooperative Vessels in GNSS-Denied Environments Using a Size-Adaptive Dubins Path,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
749,Document image analysis by a mobile robot for autonomous indoor navigation,2015,Real_World,,,,,,,,,,,,,,,,,,,,,,,
761,Comparative analysis of zero order Sugeno and Mamdani fuzzy logic controllers for obstacle avoidance behavior in mobile robot navigation,2011,Real_World,,,,,,,,,,,,,,,,,,,,,,,
768,Design and Deployment of an Autonomous Unmanned Ground Vehicle for Urban Firefighting Scenarios,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
769,Pose-Graph Based Multi-sensor Fusion for Indoor Mobile Robot Localization and Mapping,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
771,Ultrasonic local positioning system for mobile robot navigation: From low to high level processing,2015,Real_World,,,,,,,,,,,,,,,,,,,,,,,
776,WBF-PS: WiGig Beam Fingerprinting for UAV Positioning System in GPS-denied Environments,2020,Real_World,,,,,,,,,,,,,,,,,,,,,,,
778,LiDAR-Visual-Inertial Fusion Architectures for GNSS-Resilient Aerial Navigation: Performance Assessment,2025,Simulation,,,,,,,,,,,,,,,,,,,,,,,
779,"AerialVL: A Dataset, Baseline and Algorithm Framework for Aerial-Based Visual Localization With Reference Map",2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
784,ESP32-Driven Real-Time Indoor Localization Using Wi-Fi RSSI and a Simple Path Loss Model,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
786,Experimental demonstration of self-localized Ultra Wideband indoor mobile robot navigation system,2010,Real_World,,,,,,,,,,,,,,,,,,,,,,,
790,Ultra-wideband Received Signal Strength Analysis for UAV Indoor NLOS Navigation,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
794,Improving Visual Inertial Odometry with UWB Positioning for UAV Indoor Navigation,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
801,A Jamming Aware Artificial Potential Field Method to Counter GPS Jamming for Unmanned Surface Ship Path Planning,2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
804,Bio-Inspired Approach for Long-Range Underwater Navigation Using Model Predictive Control,2021,Simulation,,,,,,,,,,,,,,,,,,,,,,,
811,An Indoor Navigation Control Strategy for a Brain-Actuated Mobile Robot,2018,Real_World,,,,,,,,,,,,,,,,,,,,,,,
817,A Simple and Parallel Algorithm for Real-Time Robot Localization by Fusing Monocular Vision and Odometry/AHRS Sensors,2014,Simulation,,,,,,,,,,,,,,,,,,,,,,,
823,Introducing a novel vision based obstacle avoidance technique for navigation of autonomous mobile robots,2015,Simulation,,,,,,,,,,,,,,,,,,,,,,,
831,Robust Lidar-Based Localization Scheme for Unmanned Ground Vehicle via Multisensor Fusion,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
841,Integrated navigation system using camera and gimbaled laser scanner for indoor and outdoor autonomous flight of UAVs,2013,Real_World,,,,,,,,,,,,,,,,,,,,,,,
845,A Three-Point Calibration Method for DVL Errors in Underwater Navigation,2026,Simulation,,,,,,,,,,,,,,,,,,,,,,,
848,"Perception, Guidance, and Navigation for Indoor Autonomous Drone Racing Using Deep Learning",2018,Real_World,,,,,,,,,,,,,,,,,,,,,,,
